Name,Class,Total_Marks,Obtained_Marks,Percentage,Grade
Student_684,6th Grade,50,37,74.0,B
Student_34,7th Grade,50,44,88.0,A
Student_1516,8th Grade,50,39,78.0,B+
Student_963,8th Grade,50,48,96.0,A
Student_1889,7th Grade,25,20,80.0,A
Student_1816,8th Grade,50,37,74.0,B
Student_1852,6th Grade,50,44,88.0,A
Student_121,6th Grade,25,21,84.0,A
Student_1207,7th Grade,25,21,84.0,A
Student_247,8th Grade,25,20,80.0,A
Student_1744,6th Grade,50,29,57.99999999999999,F
Student_1060,8th Grade,100,35,35.0,F
Student_316,7th Grade,100,34,34.0,F
Student_5,6th Grade,100,73,73.0,B
Student_1493,7th Grade,100,91,91.0,A
Student_427,7th Grade,100,20,20.0,F
Student_1355,6th Grade,50,25,50.0,F
Student_1897,6th Grade,25,25,100.0,A
Student_1533,8th Grade,100,94,94.0,A
Student_1227,6th Grade,25,22,88.0,A
Student_296,7th Grade,25,21,84.0,A
Student_1913,7th Grade,50,38,76.0,B+
Student_260,6th Grade,50,48,96.0,A
Student_1100,8th Grade,25,25,100.0,A
Student_1579,6th Grade,50,38,76.0,B+
Student_440,8th Grade,50,28,56.00000000000001,F
Student_1787,8th Grade,50,25,50.0,F
Student_1425,6th Grade,100,73,73.0,B
Student_1545,7th Grade,50,30,60.0,C
Student_1219,8th Grade,100,46,46.0,F
Student_1506,7th Grade,50,26,52.0,F
Student_1659,6th Grade,25,21,84.0,A
Student_904,6th Grade,50,27,54.0,F
Student_488,6th Grade,50,27,54.0,F
Student_1159,6th Grade,50,38,76.0,B+
Student_794,6th Grade,50,32,64.0,C
Student_1178,8th Grade,25,24,96.0,A
Student_1870,6th Grade,25,21,84.0,A
Student_478,7th Grade,50,25,50.0,F
Student_1883,8th Grade,25,21,84.0,A
Student_820,8th Grade,100,55,55.00000000000001,F
Student_1610,8th Grade,25,20,80.0,A
Student_1627,8th Grade,100,92,92.0,A
Student_1543,6th Grade,100,31,31.0,F
Student_1240,8th Grade,25,25,100.0,A
Student_252,8th Grade,100,29,28.999999999999996,F
Student_1330,8th Grade,50,34,68.0,C+
Student_1785,8th Grade,50,45,90.0,A
Student_1828,7th Grade,100,59,59.0,F
Student_830,7th Grade,25,24,96.0,A
Student_1645,7th Grade,25,21,84.0,A
Student_1991,7th Grade,100,95,95.0,A
Student_1497,7th Grade,25,24,96.0,A
Student_491,7th Grade,100,83,83.0,A
Student_1064,8th Grade,100,78,78.0,B+
Student_760,8th Grade,25,21,84.0,A
Student_1026,7th Grade,50,45,90.0,A
Student_40,8th Grade,100,43,43.0,F
Student_1769,7th Grade,25,24,96.0,A
Student_1606,7th Grade,100,47,47.0,F
Student_71,8th Grade,100,77,77.0,B+
Student_896,7th Grade,100,28,28.000000000000004,F
Student_740,7th Grade,100,28,28.000000000000004,F
Student_1123,8th Grade,50,43,86.0,A
Student_533,8th Grade,25,20,80.0,A
Student_484,7th Grade,100,84,84.0,A
Student_772,6th Grade,50,43,86.0,A
Student_1239,7th Grade,25,23,92.0,A
Student_95,6th Grade,25,24,96.0,A
Student_1885,6th Grade,50,30,60.0,C
Student_1421,7th Grade,25,20,80.0,A
Student_1827,7th Grade,100,87,87.0,A
Student_480,8th Grade,100,68,68.0,C+
Student_425,6th Grade,25,22,88.0,A
Student_1519,7th Grade,50,39,78.0,B+
Student_1044,6th Grade,25,25,100.0,A
Student_699,6th Grade,100,59,59.0,F
Student_745,6th Grade,100,80,80.0,A
Student_301,8th Grade,50,30,60.0,C
Student_1458,7th Grade,100,68,68.0,C+
Student_736,6th Grade,50,47,94.0,A
Student_622,7th Grade,50,46,92.0,A
Student_1341,6th Grade,100,75,75.0,B+
Student_97,6th Grade,25,24,96.0,A
Student_786,6th Grade,100,48,48.0,F
Student_185,6th Grade,25,21,84.0,A
Student_721,7th Grade,25,21,84.0,A
Student_1840,6th Grade,50,22,44.0,F
Student_854,6th Grade,100,64,64.0,C
Student_412,7th Grade,50,39,78.0,B+
Student_1199,8th Grade,100,47,47.0,F
Student_1283,6th Grade,25,23,92.0,A
Student_1130,6th Grade,25,21,84.0,A
Student_1703,7th Grade,100,88,88.0,A
Student_973,8th Grade,50,49,98.0,A
Student_1539,7th Grade,25,20,80.0,A
Student_1676,6th Grade,100,24,24.0,F
Student_960,6th Grade,50,28,56.00000000000001,F
Student_1004,8th Grade,25,25,100.0,A
Student_430,8th Grade,25,21,84.0,A
Student_1394,6th Grade,100,39,39.0,F
Student_370,8th Grade,25,23,92.0,A
Student_1111,6th Grade,25,24,96.0,A
Student_108,8th Grade,100,75,75.0,B+
Student_1056,6th Grade,50,48,96.0,A
